disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash.x,lastRefresh.x,id.x,femaDeclarationString,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh.y,hash.y,id.y,incidentYear
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,071,99071,Walla Walla (County),20108,NA,2023-05-22T03:41:22Z,e6da39dc78ea5ccc51e7c9585b6152e405eb2f8d,792e7900-a495-433b-a634-4ffbcd655821,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,073,99073,Whatcom (County),20108,NA,2023-05-22T03:41:22Z,a5ac5196932995209ccd85b5371d07d21fadd537,acf2842b-5d01-476c-858a-06d49857c641,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,003,99003,Barnes (County),20188,NA,2023-05-22T03:41:22Z,043cce4b12e23b966ee67af16700c537ab5dbd91,b0ae3372-781d-4adf-819f-88ac382593ca,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,017,99017,Cass (County),20188,NA,2023-05-22T03:41:22Z,55dac6619be62f8f9f434066f692a4f4fe967f54,f9d48228-0637-433b-be22-6d2c12879f17,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,021,99021,Dickey (County),20188,NA,2023-05-22T03:41:22Z,fd552ffaf4d43e602ddad5b8cc8aef8f5aad022f,a3828902-9614-49cc-b1cf-6706dc30e566,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,031,99031,Foster (County),20188,NA,2023-05-22T03:41:22Z,9f31e7d86b3a92159b6272a82a76fbe2fecff811,8d0f9935-f2e2-429d-90c5-551372df12c4,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,035,99035,Grand Forks (County),20188,NA,2023-05-22T03:41:22Z,691298b683bbf46c53654708a3ca546bc234f894,0dac716e-c866-4afc-ae7d-c5c864c67838,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,043,99043,Kidder (County),20188,NA,2023-05-22T03:41:22Z,32704f4749584877c4c355a19b71ade6e4e37134,538e733a-e174-4b05-967b-8c62f4cee961,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,045,99045,LaMoure (County),20188,NA,2023-05-22T03:41:22Z,3492411f0d82802c45e0e50120b4b6cf82a3a332,31c7cb35-6730-4b8a-85ed-0ed70282d533,2020
4553,NA,NA,NA,NA,10899964.34,1655096.77,8097739.01,2023-11-02T00:00:00Z,NA,1482076.19,832bbaa0ee2cf08dc573130e589e8e8233aebe0e,2023-11-02T04:02:44Z,da6e7ae6-32b6-4dde-b14e-2ff898d48497,DR-4553-ND,ND,DR,2020-07-09T00:00:00Z,2020,Flood,FLOODING,0,0,1,1,2020-04-01T00:00:00Z,2020-04-25T00:00:00Z,NA,0,38,047,99047,Logan (County),20188,NA,2023-05-22T03:41:22Z,078c4a0d386a29d56afd002a6255691a02b68166,587c0d44-f549-404b-a857-30a2399bf02f,2020
